,Category,Content
0,spam,free entry in 2 a wkly comp to win fa cup final tkts 21st may 2005  text fa to 87121 to receive entry question std txt rate t c s apply 08452810075over18 s
1,spam,freemsg hey there darling it s been 3 week s now and no word back  i d like some fun you up for it still  tb ok  xxx std chgs to send   1 50 to rcv
2,spam,winner   as a valued network customer you have been selected to receivea  900 prize reward  to claim call 09061701461  claim code kl341  valid 12 hours only 
3,spam,had your mobile 11 months or more  u r entitled to update to the latest colour mobiles with camera for free  call the mobile update co free on 08002986030
4,spam,six chances to win cash  from 100 to 20 000 pounds txt  csh11 and send to 87575  cost 150p day  6days  16  tsandcs apply reply hl 4 info
5,spam,urgent  you have won a 1 week free membership in our  100 000 prize jackpot  txt the word  claim to no  81010 t c www dbuk net lccltd pobox 4403ldnw1a7rw18
6,spam,xxxmobilemovieclub  to use your credit  click the wap link in the next txt message or click here   http   wap  xxxmobilemovieclub com n qjkgighjjgcbl
7,spam,england v macedonia   dont miss the goals team news  txt ur national team to 87077 eg england to 87077 try wales  scotland 4txt  1 20 poboxox36504w45wq 16 
8,spam,thanks for your subscription to ringtone uk your mobile will be charged  5 month please confirm by replying yes or no  if you reply no you will not be charged
9,spam,07732584351   rodger burns   msg   we tried to call you re your reply to our sms for a free nokia mobile   free camcorder  please call now 08000930705 for delivery tomorrow
10,spam,sms  ac sptv  the new jersey devils and the detroit red wings play ice hockey  correct or incorrect  end  reply end sptv
11,spam,congrats  1 year special cinema pass for 2 is yours  call 09061209465 now  c suprman v  matrix3  starwars3  etc all 4 free  bx420 ip4 5we  150pm  dont miss out  
12,spam,as a valued customer  i am pleased to advise you that following recent review of your mob no  you are awarded with a  1500 bonus prize  call 09066364589
13,spam,urgent ur awarded a complimentary trip to eurodisinc trav  aco entry41 or  1000  to claim txt dis to 87121 18 6  1 50 morefrmmob  shracomorsglsuplt 10  ls1 3aj
14,spam,did you hear about the new  divorce barbie    it comes with all of ken s stuff  
15,spam,please call our customer service representative on 0800 169 6031 between 10am 9pm as you have won a guaranteed  1000 cash or  5000 prize 
16,spam,your free ringtone is waiting to be collected  simply text the password  mix   to 85069 to verify  get usher and britney  fml
17,spam,gent  we are trying to contact you  last weekends draw shows that you won a  1000 prize guaranteed  call 09064012160  claim code k52  valid 12hrs only  150ppm
18,spam,you are a winner u have been specially selected 2 receive  1000 or a 4  holiday  flights inc  speak to a live operator 2 claim 0871277810910p min  18   
19,spam,private  your 2004 account statement for 07742676969 shows 786 unredeemed bonus points  to claim call 08719180248 identifier code  45239 expires
20,spam,urgent  your mobile no  was awarded  2000 bonus caller prize on 5 9 03 this is our final try to contact u  call from landline 09064019788 box42wr29c  150ppm
21,spam,todays voda numbers ending 7548 are selected to receive a  350 award  if you have a match please call 08712300220 quoting claim code 4041 standard rates app
22,spam,sunshine quiz wkly q  win a top sony dvd player if u know which country the algarve is in  txt ansr to 82277   1 50 sp tyrone
23,spam,want 2 get laid tonight  want real dogging locations sent direct 2 ur mob  join the uk s largest dogging network bt txting gravel to 69888  nt  ec2a  31p msg 150p
24,spam,you ll not rcv any more msgs from the chat svc  for free hardcore services text go to  69988 if u get nothing u must age verify with yr network   try again
25,spam,freemsg why haven t you replied to my text  i m randy  sexy  female and live local  luv to hear from u  netcollex ltd 08700621170150p per msg reply stop to end
26,spam,customer service annoncement  you have a new years delivery waiting for you  please call 07046744435 now to arrange delivery
27,spam,you are a winner u have been specially selected 2 receive  1000 cash or a 4  holiday  flights inc  speak to a live operator 2 claim 0871277810810
28,spam, pls stop bootydelious  32 f  is inviting you to be her friend  reply yes 434 or no 434 see her  www sms ac u bootydelious stop  send stop frnd to 62468
29,spam,bangbabes ur order is on the way  u should receive a service msg 2 download ur content  if u do not  goto wap  bangb  tv on ur mobile internet service menu
30,spam,urgent  we are trying to contact you  last weekends draw shows that you have won a  900 prize guaranteed  call 09061701939  claim code s89  valid 12hrs only
31,spam,please call our customer service representative on freephone 0808 145 4742 between 9am 11pm as you have won a guaranteed  1000 cash or  5000 prize 
32,spam,are you unique enough  find out from 30th august  www areyouunique co uk
33,spam,500 new mobiles from 2004  must go  txt  nokia to no  89545   collect yours today from only  1 www 4 tc biz 2optout 087187262701 50gbp mtmsg18
34,spam,will u meet ur dream partner soon  is ur career off 2 a flyng start  2 find out free  txt horo followed by ur star sign  e  g  horo aries
35,spam,text   meet someone sexy today  u can find a date or even flirt its up to u  join 4 just 10p  reply with name   age eg sam 25  18  msg recd thirtyeight pence
36,spam,u 447801259231 have a secret admirer who is looking 2 make contact with u find out who they r reveal who thinks ur so special call on 09058094597
37,spam,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed   free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16
38,spam,we tried to contact you re your reply to our offer of a video handset  750 anytime networks mins  unlimited text  camcorder  reply or call 08000930705 now
39,spam,hey i am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
40,spam,ur ringtone service has changed  25 free credits  go to club4mobiles com to choose content now  stop  txt club stop to 87070  150p wk club4 po box1146 mk45 2wt
41,spam,ringtone club  get the uk singles chart on your mobile each week and choose any top quality ringtone  this message is free of charge 
42,spam,hmv bonus special 500 pounds of genuine hmv vouchers to be won  just answer 4 easy questions  play now  send hmv to 86688 more info www 100percent real com
43,spam,t mobile customer you may now claim your free camera phone upgrade   a pay   go sim card for your loyalty  call on 0845 021 3680 offer ends 28thfeb t c s apply
44,spam,sms  ac blind date 4u   rodds1 is 21 m from aberdeen  united kingdom  check him out http   img  sms  ac w icmb3cktz8r7  4 no blind dates send hide
45,spam,themob  check out our newest selection of content  games  tones  gossip  babes and sport  keep your mobile fit and funky text wap to 82468
46,spam,think ur smart   win  200 this week in our weekly quiz  text play to 85222 now t cs winnersclub po box 84  m26 3uz  16   gbp1 50 week
47,spam,december only  had your mobile 11mths   you are entitled to update to the latest colour camera mobile for free  call the mobile update co free on 08002986906
48,spam,call germany for only 1 pence per minute  call from a fixed line via access number 0844 861 85 85  no prepayment  direct access 
49,spam,valentines day special  win over  1000 in our quiz and take your partner on the trip of a lifetime  send go to 83600 now  150p msg rcvd  custcare 08718720201 
50,spam,fancy a shag  i do interested  sextextuk com txt xxuk suzy to 69876  txts cost 1 50 per msg  tncs on website  x
51,spam,congratulations ur awarded 500 of cd vouchers or 125gift guaranteed   free entry 2 100 wkly draw txt music to 87066 tncs www ldew com1win150ppmx3age16
52,spam,ur cash balance is currently 500 pounds   to maximize ur cash in now send cash to 86688 only 150p msg  cc  08708800282 hg suite342 2lands row w1j6hl
53,spam,update now   xmas offer  latest motorola  sonyericsson   nokia   free bluetooth  double mins   1000 txt on orange  call mobileupd8 on 08000839402 or call2optout f4q 
54,spam,here is your discount code rp176781  to stop further messages reply stop  www regalportfolio co uk  customer services 08717205546
